seq,time_stamp,frame_id,pos_x,pos_y,pos_z,roll_x,pitch_y,yaw_z
20,1661136596965555021,rgb_camera_link,0.14490092118929807,0.4966248525281315,2.1761698722839355,-3.1121077929037027,-0.2548655056514851,3.0847731208861564
21,1661136597429505504,rgb_camera_link,0.1440906929011244,0.48972725402311135,2.1569972038269043,-2.4730572818049037,0.1497542756773831,-3.0477382577151513
seq,time_stamp,frame_id,pos_x,pos_y,pos_z,roll_x,pitch_y,yaw_z
22,1661136623389929337,rgb_camera_link,0.14375997652958813,0.4862710786958103,2.147520065307617,-2.490899547542443,0.18719289640734005,-3.024320865766297
23,1661136623489945156,rgb_camera_link,0.14376335909317914,0.487665946592844,2.151442050933838,-2.4484879091838967,0.13435265349459827,-3.048035708803295
24,1661136623553976934,rgb_camera_link,0.14389214982937756,0.48899891506627846,2.1553492546081543,-2.4789712321190733,0.15208586765502685,-3.0411347853113506
25,1661136623689929681,rgb_camera_link,0.14403137137841168,0.48890423308805275,2.1549324989318848,-2.5007626348608083,0.17493735797830795,-3.0359025037391247
26,1661136623753948430,rgb_camera_link,0.1438583837981123,0.48845597635701943,2.1524689197540283,-2.3582317137830406,0.12428578549751942,-3.0374247836335035
27,1661136624421877397,rgb_camera_link,0.14358508160065594,0.4868945134778385,2.149467945098877,-2.4768162239169853,0.15303634793059684,-3.034441703906405
28,1661136624717985329,rgb_camera_link,0.14431845714997235,0.49055689107374,2.155766725540161,-2.364277897583613,0.12853247055708142,-3.022633134080588
29,1661136624817954230,rgb_camera_link,0.14340301921318951,0.4839549614091282,2.13712215423584,-2.3067155997816817,0.12135442685905909,-3.003879932569919
30,1661136625749965751,rgb_camera_link,0.14353875389050427,0.48810302745298195,2.151174545288086,-2.361243995720131,0.12233172882592817,-3.025034762228583
31,1661136625817979387,rgb_camera_link,0.14413874914597455,0.49082079063848305,2.1561570167541504,-2.359088935046473,0.16983276713109471,-2.9974350524917384
32,1661136625885952666,rgb_camera_link,0.14461516907166425,0.4958783937592869,2.1736676692962646,-3.1343989071343596,-0.22921560992551304,3.097281930973669
33,1661136625985990596,rgb_camera_link,0.14420575966786328,0.4923189235825901,2.1642487049102783,-3.1171623907105666,-0.2713314618769128,3.0944051697280712
34,1661136626086028575,rgb_camera_link,0.14439620395850125,0.4919211817880039,2.1632184982299805,-2.4756876575719358,0.12565314313102724,-3.069354829720219
